step,loss,lr
254,1.002199,0.00292019
255,1.365353,0.00291916
256,1.244454,0.00291812
257,1.155126,0.00291708
258,1.475227,0.00291603
259,1.273114,0.00291498
260,1.596567,0.00291392
261,1.476245,0.00291285
262,0.898193,0.00291178
263,1.616959,0.0029107
264,1.336878,0.00290961
265,1.116339,0.00290852
266,1.119002,0.00290742
267,1.088768,0.00290631
268,1.266275,0.0029052
269,1.185895,0.00290408
270,1.052352,0.00290296
271,1.083454,0.00290182
272,1.156070,0.00290069
273,1.499489,0.00289954
274,0.980077,0.00289839
275,1.291427,0.00289724
276,1.398871,0.00289607
277,1.180944,0.00289491
278,1.337732,0.00289373
279,1.197493,0.00289255
280,1.264113,0.00289136
281,1.319904,0.00289017
282,1.309257,0.00288897
283,1.299330,0.00288776
284,1.018390,0.00288655
285,1.128859,0.00288533
286,1.073593,0.00288411
287,1.283424,0.00288288
288,1.230595,0.00288164
289,1.169068,0.00288039
290,1.302107,0.00287914
291,1.088874,0.00287789
292,1.221781,0.00287663
293,0.843984,0.00287536
294,0.999625,0.00287408
295,1.221099,0.0028728
296,0.927492,0.00287152
297,1.388478,0.00287022
298,1.404796,0.00286892
299,0.848001,0.00286762
300,1.233241,0.00286631
301,1.073310,0.00286499
302,1.052979,0.00286367
303,1.565275,0.00286234
304,1.177339,0.002861
305,1.284414,0.00285966
306,1.131031,0.00285831
307,1.726504,0.00285696
308,1.379039,0.0028556
309,0.879874,0.00285423
310,1.477450,0.00285286
311,1.216701,0.00285148
312,1.286642,0.0028501
313,1.384113,0.00284871
314,1.388376,0.00284731
315,1.631171,0.00284591
316,1.222758,0.0028445
317,1.289379,0.00284308
318,1.412707,0.00284166
319,1.285314,0.00284024
320,1.315076,0.0028388
321,1.417929,0.00283737
322,1.624795,0.00283592
323,1.191421,0.00283447
324,1.183343,0.00283301
325,1.515607,0.00283155
326,1.198925,0.00283008
327,1.551090,0.00282861
328,1.173763,0.00282713
329,0.936071,0.00282564
330,1.293753,0.00282415
331,1.633709,0.00282265
332,1.314270,0.00282115
333,1.168753,0.00281964
334,0.970063,0.00281812
335,1.276753,0.0028166
336,1.027420,0.00281507
337,1.103436,0.00281354
338,1.529572,0.002812
339,1.070492,0.00281046
340,1.350506,0.00280891
341,1.309891,0.00280735
342,1.336036,0.00280579
343,1.179003,0.00280422
344,0.969213,0.00280264
345,1.232417,0.00280106
346,1.530561,0.00279948
347,1.481156,0.00279789
348,1.163114,0.00279629
349,1.320806,0.00279469
350,0.850660,0.00279308
351,0.943446,0.00279146
352,1.464291,0.00278984
353,1.271092,0.00278822
354,0.853838,0.00278658
355,1.093160,0.00278495
356,1.086665,0.0027833
357,0.841291,0.00278165
358,1.150925,0.00278
359,0.860878,0.00277834
360,0.931454,0.00277667
361,0.779674,0.002775
362,0.993402,0.00277332
363,1.090751,0.00277164
364,1.243416,0.00276995
365,0.967642,0.00276826
366,1.397231,0.00276656
367,1.129848,0.00276485
368,1.170272,0.00276314
369,0.848455,0.00276143
370,1.046771,0.0027597
371,0.960943,0.00275797
372,1.101455,0.00275624
373,1.140880,0.0027545
374,1.560980,0.00275276
375,1.084560,0.00275101
376,1.252279,0.00274925
377,1.432033,0.00274749
378,1.217705,0.00274572
379,0.947038,0.00274395
380,0.974541,0.00274217
381,1.432470,0.00274039
382,1.182481,0.0027386
383,1.194704,0.00273681
384,0.779741,0.00273501
385,1.047041,0.0027332
386,1.663464,0.00273139
387,0.976027,0.00272957
388,0.763055,0.00272775
389,1.296344,0.00272593
390,1.406927,0.00272409
391,1.028533,0.00272226
392,1.243110,0.00272041
393,1.029247,0.00271856
394,0.810694,0.00271671
395,1.159755,0.00271485
396,1.143654,0.00271299
397,0.917689,0.00271111
398,1.021422,0.00270924
399,1.072198,0.00270736
400,1.089060,0.00270547
401,1.043999,0.00270358
402,1.355662,0.00270168
403,1.005491,0.00269978
404,1.459923,0.00269787
405,1.312638,0.00269596
406,0.756250,0.00269404
407,1.011206,0.00269212
408,0.948428,0.00269019
409,0.742089,0.00268826
410,1.149471,0.00268632
411,1.089937,0.00268438
412,1.311833,0.00268243
413,0.966216,0.00268047
414,1.060500,0.00267851
415,1.334110,0.00267655
416,0.941800,0.00267458
417,0.920084,0.0026726
418,0.865941,0.00267062
419,0.907155,0.00266864
420,1.501143,0.00266665
421,1.285869,0.00266465
422,1.309610,0.00266265
423,1.229659,0.00266064
424,1.404773,0.00265863
425,0.979560,0.00265662
426,1.059273,0.0026546
427,1.114437,0.00265257
428,1.001710,0.00265054
429,0.921664,0.0026485
430,1.353965,0.00264646
431,1.324122,0.00264441
432,0.855431,0.00264236
433,1.380375,0.00264031
434,0.874927,0.00263825
435,0.830592,0.00263618
436,1.523879,0.00263411
437,0.827792,0.00263203
438,0.965060,0.00262995
